COLS_NATURE;RA_CODE;idCols;COLS_CODE;COLS_DATAMART;COLS_FILTRE_DOMAINE;DIM_VAL_CODE;idObjet;FILTRE_TAB;FILTRE_CHA;FILTRE_VAL;FILTRE_SENS
SOURCE;ra21;7;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;7;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;7;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;7;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;7;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;8;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;9;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;10;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;11;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;12;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;12;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;12;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;12;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;12;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;13;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;13;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;13;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;13;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;13;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;14;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;15;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;16;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;17;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;2;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;18;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;18;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;18;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;18;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;18;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;19;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;19;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;19;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;19;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;19;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;20;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;21;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;22;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;23;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;3;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;24;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;24;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;24;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;24;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;24;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;25;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;25;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;25;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;25;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;25;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;26;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;27;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;28;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;29;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;4;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;30;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;30;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;30;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;30;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;30;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;31;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;31;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;31;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;31;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;31;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;32;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;33;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;34;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;35;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;5;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;36;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;36;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;36;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;36;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;36;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;37;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;37;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;37;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;37;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;37;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;38;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;39;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;40;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;41;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;6;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;42;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;42;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;42;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;42;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;42;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;43;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;43;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;43;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;43;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;43;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;44;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;45;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;46;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;47;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;7;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;48;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra20;48;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_VERST;;INCLURE
SOURCE;ra20;48;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra20;48;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra20;48;C000;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra21;49;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
SOURCE;ra21;49;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_REMB;;INCLURE
SOURCE;ra21;49;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra21;49;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra21;49;C001;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
CALCUL;ra22;50;C002;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra23;51;C003;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra24;52;C004;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
CALCUL;ra25;53;C005;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;;8;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M-11];INCLURE
